STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,VAR,Variable,UNIT,Measure,COU,Country,TIME_PERIOD,OBS_VALUE,OBS_STATUS
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINSCAN,"Computed Tomography scanners, total",NBMILPNB,Per million population,ITA,Italy,2013,33.1,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINMAMO,"Mammographs, total",NBMILPNB,Per million population,ITA,Italy,2013,33.52,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINPETS,"Positron Emission Tomography (PET) scanners, total",NBMILPNB,Per million population,ITA,Italy,2014,2.9,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINRTEQ,"Radiation therapy equipment, total",NBMILPNB,Per million population,ITA,Italy,2014,6.89,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINGAMA,"Gamma cameras, total",NBMILPNB,Per million population,ITA,Italy,2014,9.13,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINSCAN,"Computed Tomography scanners, total",NBMILPNB,Per million population,ITA,Italy,2014,32.9,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINMAMO,"Mammographs, total",NBMILPNB,Per million population,ITA,Italy,2014,33.9,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINPETS,"Positron Emission Tomography (PET) scanners, total",NBMILPNB,Per million population,ITA,Italy,2015,3.05,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINRTEQ,"Radiation therapy equipment, total",NBMILPNB,Per million population,ITA,Italy,2015,6.78,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINGAMA,"Gamma cameras, total",NBMILPNB,Per million population,ITA,Italy,2015,8.36,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINSCAN,"Computed Tomography scanners, total",NBMILPNB,Per million population,ITA,Italy,2015,33.31,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINMAMO,"Mammographs, total",NBMILPNB,Per million population,ITA,Italy,2015,33.89,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINPETS,"Positron Emission Tomography (PET) scanners, total",NBMILPNB,Per million population,ITA,Italy,2016,3.23,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINRTEQ,"Radiation therapy equipment, total",NBMILPNB,Per million population,ITA,Italy,2016,6.98,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINGAMA,"Gamma cameras, total",NBMILPNB,Per million population,ITA,Italy,2016,7.9,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINMAMO,"Mammographs, total",NBMILPNB,Per million population,ITA,Italy,2016,34.18,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINSCAN,"Computed Tomography scanners, total",NBMILPNB,Per million population,ITA,Italy,2016,34.29,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINPETS,"Positron Emission Tomography (PET) scanners, total",NBMILPNB,Per million population,ITA,Italy,2017,3.34,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINRTEQ,"Radiation therapy equipment, total",NBMILPNB,Per million population,ITA,Italy,2017,7.3,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINGAMA,"Gamma cameras, total",NBMILPNB,Per million population,ITA,Italy,2017,8.13,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINMAMO,"Mammographs, total",NBMILPNB,Per million population,ITA,Italy,2017,33.65,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINSCAN,"Computed Tomography scanners, total",NBMILPNB,Per million population,ITA,Italy,2017,34.57,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINPETS,"Positron Emission Tomography (PET) scanners, total",NBMILPNB,Per million population,ITA,Italy,2018,3.44,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINRTEQ,"Radiation therapy equipment, total",NBMILPNB,Per million population,ITA,Italy,2018,7.27,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINGAMA,"Gamma cameras, total",NBMILPNB,Per million population,ITA,Italy,2018,7.66,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINMAMO,"Mammographs, total",NBMILPNB,Per million population,ITA,Italy,2018,33.88,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINSCAN,"Computed Tomography scanners, total",NBMILPNB,Per million population,ITA,Italy,2018,35.15,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINPETS,"Positron Emission Tomography (PET) scanners, total",NBMILPNB,Per million population,ITA,Italy,2019,3.55,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINRTEQ,"Radiation therapy equipment, total",NBMILPNB,Per million population,ITA,Italy,2019,7.45,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINGAMA,"Gamma cameras, total",NBMILPNB,Per million population,ITA,Italy,2019,7.85,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINMAMO,"Mammographs, total",NBMILPNB,Per million population,ITA,Italy,2019,34.51,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINSCAN,"Computed Tomography scanners, total",NBMILPNB,Per million population,ITA,Italy,2019,36.45,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINPETS,"Positron Emission Tomography (PET) scanners, total",NBMILPNB,Per million population,ITA,Italy,2020,3.62,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINRTEQ,"Radiation therapy equipment, total",NBMILPNB,Per million population,ITA,Italy,2020,7.49,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINGAMA,"Gamma cameras, total",NBMILPNB,Per million population,ITA,Italy,2020,7.89,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINMAMO,"Mammographs, total",NBMILPNB,Per million population,ITA,Italy,2020,35.26,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINSCAN,"Computed Tomography scanners, total",NBMILPNB,Per million population,ITA,Italy,2020,37.43,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINPETS,"Positron Emission Tomography (PET) scanners, total",NBMILPNB,Per million population,ITA,Italy,2021,3.67,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINRTEQ,"Radiation therapy equipment, total",NBMILPNB,Per million population,ITA,Italy,2021,7.31,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINGAMA,"Gamma cameras, total",NBMILPNB,Per million population,ITA,Italy,2021,7.46,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINMAMO,"Mammographs, total",NBMILPNB,Per million population,ITA,Italy,2021,34.11,A
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,IPINSCAN,"Computed Tomography scanners, total",NBMILPNB,Per million population,ITA,Italy,2021,38.73,A
